	001A	001B	002B	004B	006A	006B	008A	009A	009B	010A	010B	012A	012B	013A	014B	016B	017B	018B	020B	27S	30S	4S
_Toximoron (Other)	1	1	1	1	1	1	1	5	0	3	1	1	2	2	1	1	1	1	1	1	1	1
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	35	25	48	15	2533	16	1994	2223	10	3533	268	1061	3290	4038	6231	1762	8580	4671	19	3975	20	22
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	78	211	87	115	3369	95	17810	7415	86	4012	82	8787	20223	12269	16540	20923	18278	8847	80	2779	2	3
(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase	0	0	0	0	0	1	8	13	0	178	1	1	31	121	141	9	175	105	0	95	0	0
[Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39)	14	3	4	7	24	3	564	636	1	66	2	66	196	56	1914	501	381	322	3	114	0	0
[NiFe] hydrogenase metallocenter assembly protein HybG	1	4	1	1	9	1	1	1	1	1	1	1	1	1	7	1	4	1	1	1	1	1
[NiFe] hydrogenase metallocenter assembly protein HypC	6	15	3	14	952	3	612	489	9	40	3	1051	2033	163	224	679	740	515	3	134	3	3
[NiFe] hydrogenase metallocenter assembly protein HypD	7	14	9	4	304	4	392	272	4	60	4	630	1175	128	168	404	388	283	5	148	1	2
[NiFe] hydrogenase metallocenter assembly protein HypE	3	12	2	10	515	1	621	433	2	63	3	958	1521	167	200	564	592	434	2	148	1	1
[NiFe] hydrogenase metallocenter assembly protein HypF	3	14	3	3	464	4	1010	740	6	116	5	1410	1515	281	499	943	609	802	5	335	2	0
[NiFe] hydrogenase nickel incorporation protein HybF	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[NiFe] hydrogenase nickel incorporation protein HypA	1	2	2	2	9	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
[NiFe] hydrogenase nickel incorporation-associated protein HypB	1	1	1	1	1	1	2	24	1	3	1	10	2	1	1	2	2	1	2	2	1	1
[Protein-PII] uridylyltransferase (EC 2.7.7.59)	0	0	0	0	2	0	0	1	0	2	0	2	0	0	1	0	0	0	0	0	0	0
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	892	966	831	1077	895	369	3297	1497	739	2450	423	891	2625	1086	3391	1710	5032	4207	193	1248	777	1556
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	8	14	9	7	744	7	813	817	5	2261	5	280	882	788	1536	804	2951	1524	7	1148	3	3
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	693	566	30	366	338	182	214	446	325	1285	252	159	378	468	558	148	1535	657	27	676	374	542
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	18	24	14	8	1560	13	1455	1414	12	2931	10	933	1298	967	2834	1202	3140	1737	12	1132	5	4
1-phosphofructokinase (EC 2.7.1.56)	32338	5137	3570	4569	494	3043	5613	3095	1727	1329	2510	3868	2855	7043	2145	10778	2165	879	1266	551	2669	4206
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	297	54	80	25	1052	29	13973	1266	23	9684	23	1354	8585	2110	5037	8370	22382	12424	26	1701	10	10
